"headword"	"pos"	"count"	"%"	"words"
"seduco, seducere, seduxi, seductus"	"V"	2	0.0	"seducit; seducti"
"semino, seminare, seminavi, seminatus"	"V"	2	0.0	"seminat"
"senex, senis (gen.), senior -or -us, -"	"ADJ"	2	0.0	"senex; senioribus"
"sepelio, sepelire, sepelivi, sepultus"	"V"	2	0.0	"sepelire; sepulturae"
"serus, sera -um, serior -or -us, serissimus -a -um"	"ADJ"	2	0.0	"sero"
"signo, signare, signavi, signatus"	"V"	2	0.0	"signavit"
"similis, simile, similior -or -us, simillimus -a -um"	"ADJ"	2	0.0	"similis"
"singulus, singula, singulum"	"ADJ"	2	0.0	"singula; singulae"
"somnus, somni"	"N"	2	0.0	"somni; somno"
"stadium, stadi(i)"	"N"	2	0.0	"stadia; stadiis"
"sub"	"PREP"	2	0.0	"sub"
"sublevo, sublevare, sublevavi, sublevatus"	"V"	2	0.0	"sublevasset; sublevatis"
"sudarium, sudari(i)"	"N"	2	0.0	"sudario; sudarium"
"sufficio, sufficere, suffeci, suffectus"	"V"	2	0.0	"sufficit; sufficiunt"
"sumo, sumere, sumpsi, sumptus"	"V"	2	0.0	"sumam; sumendi"
"superpono, superponere, superposui, superpositus"	"V"	2	0.0	"superpositum; superpositus"
"sursum"	"ADV"	2	0.0	"sursum"
"tento, tentare, tentavi, tentatus"	"V"	2	0.0	"tentans; tentantes"
"testor, testari, testatus sum"	"V"	2	0.0	"testamur; testatur"
"titulus, tituli"	"N"	2	0.0	"titulum"
"triginta, tricesimus -a -um, triceni -ae -a, tricie(n)s"	"NUM"	2	0.0	"triginta"
"tumet, tuimet"	"PRON"	2	0.0	"temet"
"utor, uti, usus sum"	"V"	2	0.0	"utique"
"vendo, vendere, vendidi, venditus"	"V"	2	0.0	"vendebant; vendentes"
"venter, ventris"	"N"	2	0.0	"ventre; ventrem"
"vestis, vestis"	"N"	2	0.0	"veste; vestem"
"virus, viri"	"N"	2	0.0	"viri"
"vis"	"X"	2	0.0	"vis"
"vult"	"X"	2	0.0	"vult"
"Annas, Annae"	"N"	1	0.0	"annam"
"Arimathaea (Arimathia), Arimathaeae"	"N"	1	0.0	"arimathaea"
"Bethlehem"	"N"	1	0.0	"bethlehem"
"Bethsatha, Bethsathae"	"N"	1	0.0	"bethsatha"
"Cedron"	"N"	1	0.0	"cedron"
"Cephas, undeclined"	"N"	1	0.0	"cephas"
"Cleopas, Cleopae"	"N"	1	0.0	"cleopae"
"Enon"	"N"	1	0.0	"enon"
"Ephraim"	"N"	1	0.0	"ephraim"
"Gabbatha"	"N"	1	0.0	"gabbatha"
"Galilaeus, Galilaea, Galilaeum"	"ADJ"	1	0.0	"galilaei"
"Golgotha"	"N"	1	0.0	"golgotha"
"Hosanna"	"INTERJ"	1	0.0	"hosanna"
"Israelita, Israelitae"	"N"	1	0.0	"israelita"
"Latinus, Latina, Latinum"	"ADJ"	1	0.0	"latine"
"Levita, Levitae"	"N"	1	0.0	"levitas"
"Malchus"	"N"	1	0.0	"malchus"
"Salim"	"N"	1	0.0	"salim"
"Salomon, Salomonis"	"N"	1	0.0	"salomonis"
"Satanas, Satanae"	"N"	1	0.0	"satanas"
"Sichar"	"N"	1	0.0	"sichar"
"Sion"	"N"	1	0.0	"sion"
"Zebedaeus, Zebedaei"	"N"	1	0.0	"zebedaei"
"abundans, abundantis (gen.), abundantior -or -us, abundantissimus -a -um"	"ADJ"	1	0.0	"abundantius"
"accedo, accedere, accessi, accessus"	"V"	1	0.0	"accesserunt"
"accusatio, accusationis"	"N"	1	0.0	"accusationem"
"adorator, adoratoris"	"N"	1	0.0	"adoratores"
"aedifico, aedificare, aedificavi, aedificatus"	"V"	1	0.0	"aedificatum"
"aequalis, aequale, aequalior -or -us, aequalissimus -a -um"	"ADJ"	1	0.0	"aequalem"
"aes, aeris"	"N"	1	0.0	"aes"
"agricola, agricolae"	"N"	1	0.0	"agricola"
"alioquin"	"ADV"	1	0.0	"alioquin"
"aliunde"	"ADV"	1	0.0	"aliunde"
"alo, alere, alui, altus"	"V"	1	0.0	"altus"
"aloe, aloes"	"N"	1	0.0	"aloes"
"amplus, ampla -um, amplior -or -us, amplissimus -a -um"	"ADJ"	1	0.0	"amplius"
"ancilla, ancillae"	"N"	1	0.0	"ancilla"
"anno, annare, annavi, annatus"	"V"	1	0.0	"annas"
"antea"	"ADV"	1	0.0	"antea"
"antequam"	"CONJ"	1	0.0	"antequam"
"apostolus, apostoli"	"N"	1	0.0	"apostolus"
"areo, arere, arui, -"	"V"	1	0.0	"aruit"
"aridus, arida -um, aridior -or -us, aridissimus -a -um"	"ADJ"	1	0.0	"aridorum"
"armum, armi"	"N"	1	0.0	"armis"
"aroma, aromatis"	"N"	1	0.0	"aromatibus"
"asellus, aselli"	"N"	1	0.0	"asellum"
"asinus, asina, asinum"	"ADJ"	1	0.0	"asinae"
"aspicio, aspicere, aspexi, aspectus"	"V"	1	0.0	"aspiciebant"
"assisto, assistere, asstiti, asstatus"	"V"	1	0.0	"assistens"
"atrium, atri(i)"	"N"	1	0.0	"atrium"
"audeo, audere, ausus sum"	"V"	1	0.0	"audebat"
"auditus, auditus"	"N"	1	0.0	"auditui"
"aufero, auferre, abstuli, ablatus"	"V"	1	0.0	"auferte"
"avus, avi"	"N"	1	0.0	"ave"
"bajulo, bajulare, -, -"	"V"	1	0.0	"baiulans"
"benedico, benedicere, benedixi, benedictus"	"V"	1	0.0	"benedictus"
"blasphemia, blasphemiae"	"N"	1	0.0	"blasphemia"
"blasphemus, blasphema, blasphemum"	"ADJ"	1	0.0	"blasphemas"
"brachium, brachi(i)"	"N"	1	0.0	"brachium"
"caedo, caedere, cecidi, caesus"	"V"	1	0.0	"caedis"
"caelestis, caeleste, caelestior -or -us, caelestissimus -a -um"	"ADJ"	1	0.0	"caelestia"
"calcaneus, calcanei"	"N"	1	0.0	"calcaneum"
"calceamentum, calceamenti"	"N"	1	0.0	"calceamenti"
"calix, calicis"	"N"	1	0.0	"calicem"
"calvaria, calvariae"	"N"	1	0.0	"calvariae"
"carcer, carceris"	"N"	1	0.0	"carcerem"
"circumcido, circumcidere, circumcidi, circumcisus"	"V"	1	0.0	"circumciditis"
"circumpono, circumponere, circumposui, circumpositus"	"V"	1	0.0	"circumponentes"
"circumsto, circumstare, circumsteti, circumstatus"	"V"	1	0.0	"circumstat"
"claudus, clauda, claudum"	"ADJ"	1	0.0	"claudorum"
"coepio, coepere, coepi, coeptus"	"V"	1	0.0	"coepit"
"cognatus, cognata, cognatum"	"ADJ"	1	0.0	"cognatus"
"cognomino, cognominare, cognominavi, cognominatus"	"V"	1	0.0	"cognominatur"
"colloquor, colloqui, collocutus sum"	"V"	1	0.0	"colloquebantur"
"comedo, comedere, comedi, comesus"	"V"	1	0.0	"comedit"
"comminuo, comminuere, comminui, comminutus"	"V"	1	0.0	"comminuetur"
"concilium, concili(i)"	"N"	1	0.0	"concilium"
"condiscipulus, condiscipuli"	"N"	1	0.0	"condiscipulos"
"confido, confidere, confisus sum"	"V"	1	0.0	"confidite"
"consilium, consili(i)"	"N"	1	0.0	"consilium"
"conspectus, conspectus"	"N"	1	0.0	"conspectu"
"conspiro, conspirare, conspiravi, conspiratus"	"V"	1	0.0	"conspiraverant"
"constituo, constituere, constitui, constitutus"	"V"	1	0.0	"constituta"
"constitutio, constitutionis"	"N"	1	0.0	"constitutionem"
"consuetudo, consuetudinis"	"N"	1	0.0	"consuetudo"
"contamino, contaminare, contaminavi, contaminatus"	"V"	1	0.0	"contaminarentur"
"contexo, contexere, contexui, contextus"	"V"	1	0.0	"contexta"
"contingo, contingere, contigi, contactus"	"V"	1	0.0	"contingat"
"contra"	"ADV"	1	0.0	"contra"
"contradico, contradicere, contradixi, contradictus"	"V"	1	0.0	"contradicit"
"cophinus, cophini"	"N"	1	0.0	"cophinos"
"coram"	"ADV"	1	0.0	"coram"
"corrigia, corrigiae"	"N"	1	0.0	"corrigiam"
"coutor, couti, cousus sum"	"V"	1	0.0	"coutuntur"
"cresco, crescere, crevi, cretus"	"V"	1	0.0	"crescere"
"cubo, cubare, cubui, cubitus"	"V"	1	0.0	"cubitis"
"cultor, cultoris"	"N"	1	0.0	"cultor"
"decem, decimus -a -um, deni -ae -a, decie(n)s"	"NUM"	1	0.0	"decima"
"decerto, decertare, decertavi, decertatus"	"V"	1	0.0	"decertarent"
"declino, declinare, declinavi, declinatus"	"V"	1	0.0	"declinavit"
"deduco, deducere, deduxi, deductus"	"V"	1	0.0	"deducet"
"deficio, deficere, defeci, defectus"	"V"	1	0.0	"deficiente"
"demoror, demorari, demoratus sum"	"V"	1	0.0	"demorabatur"
"denuo"	"ADV"	1	0.0	"denuo"
"desiderium, desideri(i)"	"N"	1	0.0	"desideria"
"dexter, dextra -um, dexterior -or -us, dextimus -a -um"	"ADJ"	1	0.0	"dextram"
"dextera, dexterae"	"N"	1	0.0	"dexteram"
"dignus, digna -um, dignior -or -us, dignissimus -a -um"	"ADJ"	1	0.0	"dignus"
"diluculum, diluculi"	"N"	1	0.0	"diluculo"
"dirigo, dirigere, direxi, directus"	"V"	1	0.0	"dirigite"
"dispersio, dispersionis"	"N"	1	0.0	"dispersionem"
"distribuo, distribuere, distribui, distributus"	"V"	1	0.0	"distribuit"
"docibilis, docibilis, docibile"	"ADJ"	1	0.0	"docibiles"
"dolus, doli"	"N"	1	0.0	"dolus"
"donum, doni"	"N"	1	0.0	"donum"
"dormitio, dormitionis"	"N"	1	0.0	"dormitione"
"ducenti -ae -a, ducentesimus -a -um, duceni -ae -a, ducentie(n)s"	"NUM"	1	0.0	"ducentorum"
"durus, dura -um, durior -or -us, durissimus -a -um"	"ADJ"	1	0.0	"durus"
"effundo, effundere, effudi, effusus"	"V"	1	0.0	"effudit"
"elevo, elevare, elevavi, elevatus"	"V"	1	0.0	"elevatis"
"emitto, emittere, emisi, emissus"	"V"	1	0.0	"emiserit"
"enarro, enarrare, enarravi, enarratus"	"V"	1	0.0	"enarravit"
"encaenium, encaenii"	"N"	1	0.0	"encaenia"
"esurio, esurire, esurivi, esuritus"	"V"	1	0.0	"esuriet"
"etenim"	"CONJ"	1	0.0	"etenim"
"etsi"	"CONJ"	1	0.0	"etsi"
"exaudio, exaudire, exaudivi, exauditus"	"V"	1	0.0	"exaudit"
"excaeco, excaecare, excaecavi, excaecatus"	"V"	1	0.0	"excaecavit"
"excipio, excipere, excepi, exceptus"	"V"	1	0.0	"exceperunt"
"excusatio, excusationis"	"N"	1	0.0	"excusationem"
"exemplum, exempli"	"N"	1	0.0	"exemplum"
"exinde"	"ADV"	1	0.0	"exinde"
"existimo, existimare, existimavi, existimatus"	"V"	1	0.0	"existimans"
"exspuo, exspuere, exspui, exsputus"	"V"	1	0.0	"exspuit"
"exsurgo, exsurgere, exsurrexi, exsurrectus"	"V"	1	0.0	"exsurgebat"
"exsuscito, exsuscitare, exsuscitavi, exsuscitatus"	"V"	1	0.0	"exsuscitem"
"extendo, extendere, extendi, extensus"	"V"	1	0.0	"extendes"
"extra"	"PREP"	1	0.0	"extra"
"facies, faciei"	"N"	1	0.0	"faciem"
"fatigo, fatigare, fatigavi, fatigatus"	"V"	1	0.0	"fatigatus"
"fax, facis"	"N"	1	0.0	"facibus"
"febris, febris"	"N"	1	0.0	"febris"
"fenum, feni"	"N"	1	0.0	"fenum"
"festivitas, festivitatis"	"N"	1	0.0	"festivitatis"
"fidelis, fidele, fidelior -or -us, fidelissimus -a -um"	"ADJ"	1	0.0	"fidelis"
"filia, filiae"	"N"	1	0.0	"filia"
"filiolus, filioli"	"N"	1	0.0	"filioli"
"finis, finis"	"N"	1	0.0	"finem"
"flagello, flagellare, flagellavi, flagellatus"	"V"	1	0.0	"flagellavit"
"flagellum, flagelli"	"N"	1	0.0	"flagellum"
"flo, flare, flavi, flatus"	"V"	1	0.0	"flante"
"flumen, fluminis"	"N"	1	0.0	"flumina"
"fluo, fluere, fluxi, fluxus"	"V"	1	0.0	"fluent"
"foeteo, foetere, -, -"	"V"	1	0.0	"foetet"
"formido, formidare, formidavi, formidatus"	"V"	1	0.0	"formidet"
"fornicatio, fornicationis"	"N"	1	0.0	"fornicatione"
"frequento, frequentare, frequentavi, frequentatus"	"V"	1	0.0	"frequenter"
"frigus, frigoris"	"N"	1	0.0	"frigus"
"frumentum, frumenti"	"N"	1	0.0	"frumenti"
"funiculus, funiculi"	"N"	1	0.0	"funiculis"
"furor, furari, furatus sum"	"V"	1	0.0	"furetur"
"gazophylacium, gazophylacii"	"N"	1	0.0	"gazophylacio"
"granum, grani"	"N"	1	0.0	"granum"
"gratus, grata -um, gratior -or -us, gratissimus -a -um"	"ADJ"	1	0.0	"gratis"
"grex, gregis"	"N"	1	0.0	"grex"
"habito, habitare, habitavi, habitatus"	"V"	1	0.0	"habitavit"
"haesito, haesitare, haesitavi, haesitatus"	"V"	1	0.0	"haesitantes"
"heri"	"ADV"	1	0.0	"heri"
"hiems, hiemis"	"N"	1	0.0	"hiems"
"homicida, homicidae"	"N"	1	0.0	"homicida"
"honor, honoris"	"N"	1	0.0	"honorem"
"honorificus, honorifica -um, honorificentior -or -us, honorificentissimus -a -"	"ADJ"	1	0.0	"honorifico"
"hortulanus, hortulani"	"N"	1	0.0	"hortulanus"
"hyssopus, hyssopi"	"N"	1	0.0	"hyssopo"
"ignis, ignis"	"N"	1	0.0	"ignem"
"ignoro, ignorare, ignoravi, ignoratus"	"V"	1	0.0	"ignoras"
"illumino, illuminare, illuminavi, illuminatus"	"V"	1	0.0	"illuminat"
"impono, imponere, imposui, impositus"	"V"	1	0.0	"imposuerunt"
"inconsutilis, inconsutilis, inconsutile"	"ADJ"	1	0.0	"inconsutilis"
"indico, indicare, indicavi, indicatus"	"V"	1	0.0	"indicet"
"indigeo, indigere, indigui, -"	"V"	1	0.0	"indiget"
"indignor, indignari, indignatus sum"	"V"	1	0.0	"indignamini"
"induro, indurare, induravi, induratus"	"V"	1	0.0	"induravit"
"inebrio, inebriare, inebriavi, inebriatus"	"V"	1	0.0	"inebriati"
"infero, inferre, intuli, illatus"	"V"	1	0.0	"infer"
"inhonoratus, inhonorata, inhonoratum"	"ADJ"	1	0.0	"inhonoratis"
"injustitia, injustitiae"	"N"	1	0.0	"iniustitia"
"innuo, innuere, innui, innutus"	"V"	1	0.0	"innuit"
"insanio, insanire, insanivi, insanitus"	"V"	1	0.0	"insanit"
"instita, institae"	"N"	1	0.0	"institis"
"insufflo, insufflare, insufflavi, insufflatus"	"V"	1	0.0	"insufflavit"
"intellego, intellegere, intellexi, intellectus"	"V"	1	0.0	"intellegant"
"interea"	"ADV"	1	0.0	"interea"
"introduco, introducere, introduxi, introductus"	"V"	1	0.0	"introduxit"
"intueor, intueri, intuitus sum"	"V"	1	0.0	"intuitus"
"intus"	"ADV"	1	0.0	"intus"
"involvo, involvere, involvi, involutus"	"V"	1	0.0	"involutum"
"ira, irae"	"N"	1	0.0	"ira"
"iter, itineris"	"N"	1	0.0	"itinere"
"itero, iterare, iteravi, iteratus"	"V"	1	0.0	"iterato"
"janua, januae"	"N"	1	0.0	"ianuis"
"junior, junior, junius"	"ADJ"	1	0.0	"iunior"
"labor, laboris"	"N"	1	0.0	"laborem"
"lacrimo, lacrimare, lacrimavi, lacrimatus"	"V"	1	0.0	"lacrimatus"
"lancea, lanceae"	"N"	1	0.0	"lancea"
"languidus, languida -um, languidior -or -us, languidissimus -a -um"	"ADJ"	1	0.0	"languidus"
"lanterna, lanternae"	"N"	1	0.0	"lanternis"
"lapideus, lapidea, lapideum"	"ADJ"	1	0.0	"lapideae"
"linio, linire, linivi, linitus"	"V"	1	0.0	"linivit"
"lithostrotus, lithostrota, lithostrotum"	"ADJ"	1	0.0	"lithostrotos"
"litigo, litigare, litigavi, litigatus"	"V"	1	0.0	"litigabant"
"litus, litoris"	"N"	1	0.0	"litore"
"longus, longa -um, longior -or -us, longissimus -a -um"	"ADJ"	1	0.0	"longe"
"lucerna, lucernae"	"N"	1	0.0	"lucerna"
"macto, mactare, mactavi, mactatus"	"V"	1	0.0	"mactet"
"maledico, maledicere, maledixi, maledictus"	"V"	1	0.0	"maledixerunt"
"maledictum, maledicti"	"N"	1	0.0	"maledicti"
"malefactor, malefactoris"	"N"	1	0.0	"malefactor"
"medio, mediare, mediavi, mediatus"	"V"	1	0.0	"mediante"
"mementote"	"X"	1	0.0	"mementote"
"memini, meminisse, -"	"V"	1	0.0	"meminit"
"mendico, mendicare, mendicavi, mendicatus"	"V"	1	0.0	"mendicabat"
"mendicus, mendica, mendicum"	"ADJ"	1	0.0	"mendicus"
"mensa, mensae"	"N"	1	0.0	"mensas"
"mensis, mensis"	"N"	1	0.0	"menses"
"merces, mercedis"	"N"	1	0.0	"mercedem"
"metior, metiri, mensus sum"	"V"	1	0.0	"mensuram"
"metreta, metretae"	"N"	1	0.0	"metretas"
"milium, milii"	"N"	1	0.0	"milia"
"minuo, minuere, minui, minutus"	"V"	1	0.0	"minui"
"minus"	"ADV"	1	0.0	"minus"
"mirabilis, mirabilis, mirabile"	"ADJ"	1	0.0	"mirabile"
"misceo, miscere, miscui, mixtus"	"V"	1	0.0	"mixturam"
"miser, misera -um, miserior -or -us, miserrimus -a -um"	"ADJ"	1	0.0	"misero"
"moror, morari, moratus sum"	"V"	1	0.0	"morabatur"
"mos, moris"	"N"	1	0.0	"mos"
"murmur, murmuris"	"N"	1	0.0	"murmur"
"myrrha, myrrhae"	"N"	1	0.0	"myrrhae"
"nam"	"CONJ"	1	0.0	"nam"
"nardus, nardi"	"N"	1	0.0	"nardi"
"natatoria, natatoriae"	"N"	1	0.0	"natatoria"
"nativitas, nativitatis"	"N"	1	0.0	"nativitate"
"necdum"	"CONJ"	1	0.0	"necdum"
"negotiatio, negotiationis"	"N"	1	0.0	"negotiationis"
"nominatim"	"ADV"	1	0.0	"nominatim"
"nudus, nuda, nudum"	"ADJ"	1	0.0	"nudus"
"numerus, numeri"	"N"	1	0.0	"numero"
"numquam"	"ADV"	1	0.0	"numquam"
"nuntio, nuntiare, nuntiavi, nuntiatus"	"V"	1	0.0	"nuntiavit"
"obsequium, obsequi(i)"	"N"	1	0.0	"obsequium"
"occultus, occulta -um, occultior -or -us, occultissimus -a -um"	"ADJ"	1	0.0	"occultus"
"occurro, occurrere, occucurri, occursus"	"V"	1	0.0	"occurrit"
"odor, odoris"	"N"	1	0.0	"odore"
"offero, offerre, obtuli, oblatus"	"V"	1	0.0	"obtulerunt"
"olivetum, oliveti"	"N"	1	0.0	"oliveti"
"orphanus, orphani"	"N"	1	0.0	"orphanos"
"ostiarium, ostiarii"	"N"	1	0.0	"ostiaria"
"ostiarius, ostiaria, ostiarium"	"ADJ"	1	0.0	"ostiariae"
"ostiarius, ostiarii"	"N"	1	0.0	"ostiarius"
"palma, palmae"	"N"	1	0.0	"palmarum"
"partior, partiri, partitus sum"	"V"	1	0.0	"partiti"
"pascuum, pascui"	"N"	1	0.0	"pascua"
"patria, patriae"	"N"	1	0.0	"patria"
"pauper, pauperis (gen.), pauperior -or -us, pauperrimus -a -um"	"ADJ"	1	0.0	"pauperes"
"peccator, peccatoris"	"N"	1	0.0	"peccatores"
"pecus, pecoris"	"N"	1	0.0	"pecora"
"pelvis, pelvis"	"N"	1	0.0	"pelvem"
"percutio, percutere, percussi, percussus"	"V"	1	0.0	"percussit"
"perditio, perditionis"	"N"	1	0.0	"perditionis"
"pergo, pergere, perrexi, perrectus"	"V"	1	0.0	"perrexit"
"permaneo, permanere, permansi, permansus"	"V"	1	0.0	"permanet"
"permitto, permittere, permisi, permissus"	"V"	1	0.0	"permisit"
"persevero, perseverare, perseveravi, perseveratus"	"V"	1	0.0	"perseverarent"
"piscor, piscari, piscatus sum"	"V"	1	0.0	"piscari"
"placeo, placere, placui, placitus"	"V"	1	0.0	"placita"
"plecto, plectere, plexi, plectus"	"V"	1	0.0	"plectentes"
"plenitudo, plenitudinis"	"N"	1	0.0	"plenitudine"
"plus, pluris"	"N"	1	0.0	"plura"
"porrigo, porrigere, porrexi, porrectus"	"V"	1	0.0	"porrexero"
"postquam"	"CONJ"	1	0.0	"postquam"
"poto, potare, potavi, potus"	"V"	1	0.0	"potus"
"praecurro, praecurrere, praecucurri, praecursus"	"V"	1	0.0	"praecucurrit"
"praedium, praedi(i)"	"N"	1	0.0	"praedium"
"praeparo, praeparare, praeparavi, praeparatus"	"V"	1	0.0	"praeparavero"
"praesto, praestare, praestiti, praestitus"	"V"	1	0.0	"praestare"
"praetereo, praeterire, praeterivi(ii), praeteritus"	"V"	1	0.0	"praeteriens"
"prehendo, prehendere, prehendi, prehensus"	"V"	1	0.0	"prehendere"
"pretiosus, pretiosa -um, pretiosior -or -us, pretiosissimus -a -um"	"ADJ"	1	0.0	"pretiosi"
"probaticus, probatica, probaticum"	"ADJ"	1	0.0	"probatica"
"prodeo, prodire, prodivi(ii), proditus"	"V"	1	0.0	"prodiit"
"prodigium, prodigi(i)"	"N"	1	0.0	"prodigia"
"proficio, proficere, profeci, profectus"	"V"	1	0.0	"proficitis"
"propheto, prophetare, prophetavi, prophetatus"	"V"	1	0.0	"prophetavit"
"prosum, prodesse, profui, profuturus"	"V"	1	0.0	"prodest"
"protestor, protestari, protestatus sum"	"V"	1	0.0	"protestatus"
"pullus, pulli"	"N"	1	0.0	"pullum"
"pulmentarium, pulmentarii"	"N"	1	0.0	"pulmentarium"
"purgo, purgare, purgavi, purgatus"	"V"	1	0.0	"purgat"
"purus, pura -um, purior -or -us, purissimus -a -um"	"ADJ"	1	0.0	"puri"
"quadraginta, quadragesimus -a -um, quadrageni -ae -a, quadragie(n)s"	"NUM"	1	0.0	"quadraginta"
"quaestio, quaestionis"	"N"	1	0.0	"quaestio"
"quamdiu"	"ADV"	1	0.0	"quamdiu"
"quantus, quanta, quantum"	"ADJ"	1	0.0	"quantum"
"quatriduanus, quatriduana, quatriduanum"	"ADJ"	1	0.0	"quatriduanus"
"quemadmodum"	"ADV"	1	0.0	"quemadmodum"
"quindecim, quindecimus -a -um, quindeci -ae -a, quindecie(n)s"	"NUM"	1	0.0	"quindecim"
"quippe"	"ADV"	1	0.0	"quippe"
"quousque"	"ADV"	1	0.0	"quousque"
"rabbuni"	"N"	1	0.0	"rabbuni"
"ramus, rami"	"N"	1	0.0	"ramos"
"recipio, recipere, recepi, receptus"	"V"	1	0.0	"receperunt"
"remigo, remigare, remigavi, remigatus"	"V"	1	0.0	"remigassent"
"reminiscor, reminisci, -"	"V"	1	0.0	"reminiscamini"
"remissus, remissa -um, remissior -or -us, remississimus -a -um"	"ADJ"	1	0.0	"remissa"
"remitto, remittere, remisi, remissus"	"V"	1	0.0	"remiseritis"
"respicio, respicere, respexi, respectus"	"V"	1	0.0	"respiciens"
"retro"	"ADV"	1	0.0	"retro"
"revelo, revelare, revelavi, revelatus"	"V"	1	0.0	"revelatum"
"revertor, reverti, reversus sum"	"V"	1	0.0	"reversi"
"romanus, romana, romanum"	"ADJ"	1	0.0	"romani"
"saeculum, saeculi"	"N"	1	0.0	"saeculo"
"salio, salire, salivi, saltus"	"V"	1	0.0	"salientis"
"salus, salutis"	"N"	1	0.0	"salus"
"saturo, saturare, saturavi, saturatus"	"V"	1	0.0	"saturati"
"scenopegia, scenopegiae"	"N"	1	0.0	"scenopegia"
"schisma, schismatis"	"N"	1	0.0	"schisma"
"scriba, scribae"	"N"	1	0.0	"scribae"
"secedo, secedere, secessi, secessus"	"V"	1	0.0	"secessit"
"senesco, senescere, senui, -"	"V"	1	0.0	"senueris"
"separatim"	"ADV"	1	0.0	"separatim"
"septem, septimus -a -um, septeni -ae -a, septie(n)s"	"NUM"	1	0.0	"septima"
"serpens, serpentis"	"N"	1	0.0	"serpentem"
"servio, servire, servivi, servitus"	"V"	1	0.0	"servivimus"
"silentium, silenti(i)"	"N"	1	0.0	"silentio"
"sinus, sinus"	"N"	1	0.0	"sinu"
"socer, soceri"	"N"	1	0.0	"socer"
"sors, sortis"	"N"	1	0.0	"sortem"
"sortior, sortiri, sortitus sum"	"V"	1	0.0	"sortiamur"
"species, speciei"	"N"	1	0.0	"speciem"
"spelunca, speluncae"	"N"	1	0.0	"spelunca"
"sperno, spernere, sprevi, spretus"	"V"	1	0.0	"spernit"
"spero, sperare, speravi, speratus"	"V"	1	0.0	"speratis"
"spina, spinae"	"N"	1	0.0	"spinis"
"spineus, spinea, spineum"	"ADJ"	1	0.0	"spineam"
"spiro, spirare, spiravi, spiratus"	"V"	1	0.0	"spirat"
"spongia, spongiae"	"N"	1	0.0	"spongiam"
"spuo, spuere, spui, sputus"	"V"	1	0.0	"sputo"
"statuo, statuere, statui, statutus"	"V"	1	0.0	"statuerunt"
"subeo, subire, subivi(ii), subitus"	"V"	1	0.0	"subiit"
"subverto, subvertere, subverti, subversus"	"V"	1	0.0	"subvertit"
"succingo, succingere, succinxi, succinctus"	"V"	1	0.0	"succinxit"
"suggero, suggerere, suggessi, suggestus"	"V"	1	0.0	"suggeret"
"summa, summae"	"N"	1	0.0	"summum"
"supernus, superna, supernum"	"ADJ"	1	0.0	"supernis"
"supero, superare, superavi, superatus"	"V"	1	0.0	"superaverunt"
"supersum, superesse, superfui, superfuturus"	"V"	1	0.0	"superfuerunt"
"supervenio, supervenire, superveni, superventus"	"V"	1	0.0	"supervenerunt"
"suscipio, suscipere, suscepi, susceptus"	"V"	1	0.0	"susceperunt"
"talis, talis, tale"	"ADJ"	1	0.0	"tales"
"teneo, tenere, tenui, tentus"	"V"	1	0.0	"tenere"
"terrenus, terrena, terrenum"	"ADJ"	1	0.0	"terrena"
"tonitrus, tonitrus"	"N"	1	0.0	"tonitruum"
"torreo, torrere, torrui, tostus"	"V"	1	0.0	"torrentem"
"transfigo, transfigere, transfixi, transfixus"	"V"	1	0.0	"transfixerunt"
"trecenti -ae -a, trecentesimus -a -um, treceni -ae -a, trecentie(n)s"	"NUM"	1	0.0	"trecentis"
"tribunal, tribunalis"	"N"	1	0.0	"tribunali"
"tribunus, tribuni"	"N"	1	0.0	"tribunus"
"ullus, ulla, ullum (gen -ius)"	"ADJ"	1	0.0	"ullam"
"unguentum, unguenti"	"N"	1	0.0	"unguento"
"unicuique"	"X"	1	0.0	"unicuique"
"uter, utra, utrum"	"ADJ"	1	0.0	"utrum"
"vagina, vaginae"	"N"	1	0.0	"vaginam"
"valeo, valere, valui, valitus"	"V"	1	0.0	"valebant"
"vas, vasis"	"N"	1	0.0	"vas"
"vel"	"CONJ"	1	0.0	"vel"
"veneo, venire, venivi(ii), venitus"	"V"	1	0.0	"veniit"
"verto, vertere, verti, versus"	"V"	1	0.0	"vertetur"
"verumtamen"	"CONJ"	1	0.0	"verumtamen"
"vicinus, vicina, vicinum"	"ADJ"	1	0.0	"vicini"
"vicis, vicis"	"N"	1	0.0	"vici"
"viginti, vicesimus -a -um, viceni -ae -a, vicie(n)s"	"NUM"	1	0.0	"viginti"
"vitis, vitis"	"N"	1	0.0	"vite"
"vosmet, vostrimet"	"PRON"	1	0.0	"vobismet"
"zelus, zeli"	"N"	1	0.0	"zelus"